INPUT:sent1;INPUT:sent2;INPUT:premise;INPUT:question;OUTPUT:variant;HINT:text;ASSIGNMENT:assignment_id;ASSIGNMENT:task_suite_id;ASSIGNMENT:worker_id;ASSIGNMENT:status;ASSIGNMENT:started
Он боялся сцены.;Он помнил свою роль.;Сердце актёра отчаянно билось перед выступлением.;Что стало причиной этого?;0;;0000b4a8a2--5e707ecd218d9b0125712b1f;0000b4a8a2--5e707d5a1fcfde011aac0925;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:39:57.954
Я пересчитал наличные деньги.;Я развернул карту.;Я потерялся.;Что случилось в результате?;1;;0000b4a8a2--5e707ecd218d9b0125712b1f;0000b4a8a2--5e707d5a1fcfde011aac0925;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:39:57.954
Он был съеден.;Он высох.;Спелый плод оставили на солнце.;Что случилось в результате?;1;;0000b4a8a2--5e707ecd218d9b0125712b1f;0000b4a8a2--5e707d5a1fcfde011aac0925;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:39:57.954
Я включил зажигание.;Двигатель перегрелся.;Машина сломалась.;Что стало причиной этого?;1;;0000b4a8a2--5e707ecd218d9b0125712b1f;0000b4a8a2--5e707d5a1fcfde011aac0925;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:39:57.954
Он пошел к психиатру.;Он остался в постели на несколько дней.;Мужчина повредил спину.;Что случилось в результате?;1;;0000b4a8a2--5e707ecd218d9b0125712b1f;0000b4a8a2--5e707d5a1fcfde011aac0925;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:39:57.954
Я отметил встречу в календаре.;Начался новый месяц.;Я перевернул страницу на календаре.;Что стало причиной этого?;1;;0000b4a8a2--5e707ecdd4088801271a7060;0000b4a8a2--5e707d5a1fcfde011aac0916;e42c279b9fe9ef53df9c39e986b9e6db;APPROVED;2020-03-17T07:39:57.245
Он уволил своего адвоката.;Он подал на развод.;Муж обнаружил, что у его жены был роман.;Что случилось в результате?;1;;0000b4a8a2--5e707ecdd4088801271a7060;0000b4a8a2--5e707d5a1fcfde011aac0916;e42c279b9fe9ef53df9c39e986b9e6db;APPROVED;2020-03-17T07:39:57.245
Мяч отскочил.;Мяч засиял.;Девушка бросила резиновый мяч.;Что случилось в результате?;0;;0000b4a8a2--5e707ecdd4088801271a7060;0000b4a8a2--5e707d5a1fcfde011aac0916;e42c279b9fe9ef53df9c39e986b9e6db;APPROVED;2020-03-17T07:39:57.245
Она угадала верный ответ.;Она стёрла свой ответ.;Девушка ошиблась на экзамене.;Что случилось в результате?;1;;0000b4a8a2--5e707ecdd4088801271a7060;0000b4a8a2--5e707d5a1fcfde011aac0916;e42c279b9fe9ef53df9c39e986b9e6db;APPROVED;2020-03-17T07:39:57.245
Его противник поймал передачу.;Его противник упал на землю.;Игрок схватил своего противника.;Что случилось в результате?;1;;0000b4a8a2--5e707ecdd4088801271a7060;0000b4a8a2--5e707d5a1fcfde011aac0916;e42c279b9fe9ef53df9c39e986b9e6db;APPROVED;2020-03-17T07:39:57.245
