premise;hypothesis;result;worker_id
Мужчина уже был ранее судим, рассказали «Комсомольской правде-Красноярск» в полиции города.;Мужчину раньше уже судили.;entailment6;2cd15054b85d6058a7df461070e30011
Мужчина уже был ранее судим, рассказали «Комсомольской правде-Красноярск» в полиции города.;Мужчину раньше уже судили.;entailment;b37f6b8fffb315337d9c71137a04dba2
Мужчина уже был ранее судим, рассказали «Комсомольской правде-Красноярск» в полиции города.;Мужчину раньше уже судили.;neutral3;a7adc9e0a778f1ea4ab5037920ce5ef1
Теперь кратко если не о самом главном, то просто о самом. О нем самом. Откровенно повторюсь, сто раз говорил, гордясь афоризмом: никто не может примирить меня с властью, кроме ее противников, и никто не может вызвать к ней такого отвращения, как ее сторонники.;Никто не может примирить меня с властью, кроме ее противников, и никто не может вызвать к ней такого отвращения, как ее сторонники.;entailment6;2cd15054b85d6058a7df461070e30011
Теперь кратко если не о самом главном, то просто о самом. О нем самом. Откровенно повторюсь, сто раз говорил, гордясь афоризмом: никто не может примирить меня с властью, кроме ее противников, и никто не может вызвать к ней такого отвращения, как ее сторонники.;Никто не может примирить меня с властью, кроме ее противников, и никто не может вызвать к ней такого отвращения, как ее сторонники.;entailment;23effdd0ce443f7cb7054873b1c15faf
Теперь кратко если не о самом главном, то просто о самом. О нем самом. Откровенно повторюсь, сто раз говорил, гордясь афоризмом: никто не может примирить меня с властью, кроме ее противников, и никто не может вызвать к ней такого отвращения, как ее сторонники.;Никто не может примирить меня с властью, кроме ее противников, и никто не может вызвать к ней такого отвращения, как ее сторонники.;entailment6;4d1f320ec9fccb9e1d4876f135f6ec26
Его преследовали, бросили в тюрьму. Потом — суд, приговор. В отчаянии он писал послания Господу: «Но ты нас не слышишь... ты нас не видишь...» Таков был его конец.;Ты нас не слышишь... ты нас не видишь...;entailment;febcd1d8f0d27a6e64bf18f1c1aa8d12
Его преследовали, бросили в тюрьму. Потом — суд, приговор. В отчаянии он писал послания Господу: «Но ты нас не слышишь... ты нас не видишь...» Таков был его конец.;Ты нас не слышишь... ты нас не видишь...;neutral;c7b75ab9bf5f94d1c10b83efdf0b0b7a
Его преследовали, бросили в тюрьму. Потом — суд, приговор. В отчаянии он писал послания Господу: «Но ты нас не слышишь... ты нас не видишь...» Таков был его конец.;Ты нас не слышишь... ты нас не видишь...;contradiction2;a7adc9e0a778f1ea4ab5037920ce5ef1
"Уезжая из больницы, король сказал журналистам, что ""чувствует себя хорошо"".";Король чувствует себя хорошо.;neutral;b19b9ceebd9e2e396ca23cc9051ba2ce
"Уезжая из больницы, король сказал журналистам, что ""чувствует себя хорошо"".";Король чувствует себя хорошо.;neutral;f2ca3d107543223122d74437faf968dd
"Уезжая из больницы, король сказал журналистам, что ""чувствует себя хорошо"".";Король чувствует себя хорошо.;neutral5;a7adc9e0a778f1ea4ab5037920ce5ef1
"Уезжая из больницы, король сказал журналистам, что ""чувствует себя хорошо"".";Король чувствует себя хорошо.;entailment6;1ca6d7667e63d98cd1f76d1cab0e5b21
"Уезжая из больницы, король сказал журналистам, что ""чувствует себя хорошо"".";Король чувствует себя хорошо.;entailment;c59ba30c036395e116dbfc7ee47dac3d
"Уезжая из больницы, король сказал журналистам, что ""чувствует себя хорошо"".";Король чувствует себя хорошо.;entailment;08364543072d45ca86eddbf71e638b27
Он расскажет, как встречался с королевой. Обман, конечно, выяснится, но... Но в него никто не поверит. Толпа обожает верить подлым слухам.;Это был обман.;neutral;f2ca3d107543223122d74437faf968dd
Он расскажет, как встречался с королевой. Обман, конечно, выяснится, но... Но в него никто не поверит. Толпа обожает верить подлым слухам.;Это был обман.;entailment;ce033ee1bd4b93ab6dcc58f467b0c7f4
Он расскажет, как встречался с королевой. Обман, конечно, выяснится, но... Но в него никто не поверит. Толпа обожает верить подлым слухам.;Это был обман.;entailment;cbe9ec90c12e40eeda5d2ef72f15b80d
Или не хотел? Я уверен, что он хотел. Он хотел сказать: это вам.;Он хотел.;contradiction;6c5dbdf7bb89f817bf104b66fead65ff
Или не хотел? Я уверен, что он хотел. Он хотел сказать: это вам.;Он хотел.;entailment;febcd1d8f0d27a6e64bf18f1c1aa8d12
Или не хотел? Я уверен, что он хотел. Он хотел сказать: это вам.;Он хотел.;entailment;59dfaba25cb065dfe31b4fafe800b6ca
"В настоящее время проходит инвентаризация найденного. Источник, знакомый с ситуацией, сообщил агентству, что найдено было порядка тысячи предметов. ""Если мыслить категориями ""много"" или ""мало"", то найдено очень много, клад хороший"", - сказал собеседник агентства.";Найдено было порядка тысячи предметов.;entailment;d81fdb8ebe2e98d18d7e334fea1884c1
"В настоящее время проходит инвентаризация найденного. Источник, знакомый с ситуацией, сообщил агентству, что найдено было порядка тысячи предметов. ""Если мыслить категориями ""много"" или ""мало"", то найдено очень много, клад хороший"", - сказал собеседник агентства.";Найдено было порядка тысячи предметов.;entailment;158b73502dbe8604da8acc6316fc9d96
"В настоящее время проходит инвентаризация найденного. Источник, знакомый с ситуацией, сообщил агентству, что найдено было порядка тысячи предметов. ""Если мыслить категориями ""много"" или ""мало"", то найдено очень много, клад хороший"", - сказал собеседник агентства.";Найдено было порядка тысячи предметов.;entailment;f59392294b4d63a5393ab0eeff1e89af
"В настоящее время проходит инвентаризация найденного. Источник, знакомый с ситуацией, сообщил агентству, что найдено было порядка тысячи предметов. ""Если мыслить категориями ""много"" или ""мало"", то найдено очень много, клад хороший"", - сказал собеседник агентства.";Найдено было порядка тысячи предметов.;contradiction;674f5164b02799cf5cfb00e0105606c0
"В настоящее время проходит инвентаризация найденного. Источник, знакомый с ситуацией, сообщил агентству, что найдено было порядка тысячи предметов. ""Если мыслить категориями ""много"" или ""мало"", то найдено очень много, клад хороший"", - сказал собеседник агентства.";Найдено было порядка тысячи предметов.;entailment;9fb46072526d742d8536441e39f99e22
"В настоящее время проходит инвентаризация найденного. Источник, знакомый с ситуацией, сообщил агентству, что найдено было порядка тысячи предметов. ""Если мыслить категориями ""много"" или ""мало"", то найдено очень много, клад хороший"", - сказал собеседник агентства.";Найдено было порядка тысячи предметов.;neutral5;bb1e1a1f8892c95b36dfe9633e66786c
А оказывается, всем видом своим я только и походил для них на туповатого, серого человечка. Но я уж никак ни с кем из учителей не хитрил, не знал этого за собой, а они рассуждали о моей хитрости, довольные, будто бы разгадали, что я за фрукт. И так я впервые осознал, что есть огромная пропасть между тем, кто я есть сам в себе или для себя, и мнением обо мне взрослых людей.;Есть огромная пропасть между тем, кто я есть сам в себе или для себя, и мнением обо мне взрослых людей.;neutral;f2ca3d107543223122d74437faf968dd
